trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-43.919371623032376,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9024999999999999}",20,0,-91.50485831411497,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-113.80709554273078,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",30,0,-177.75490789670397,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999998}",20,0,-104.30464339283111,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",25,5,-89.59703673930535,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-28.896160439074315,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",35,0,-114.54711858530149,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-111.23469623706264,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383787}",20,0,-106.87715911175317,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764597}",25,0,-126.35413044538713,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626367}",30,3,-42.017885826395805,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.5133420832795048}",20,0,-41.97556717093038,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552954}",20,0,-88.05970175610192,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975304}",20,0,-142.7431237123859,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.44012666865176536}",25,0,-80.09416214406356,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
