trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.85, 'e': 0.995}",30,0,-132.275706441639,"{0: 12, 1: 8, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.85, 'e': 0.990025}",20,0,-60.8308335190152,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.85, 'e': 0.985074875}",20,14,-2.946187419486853,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.85, 'e': 0.980149500625}",20,7,-51.28419021145619,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.85, 'e': 0.975248753121875}",30,0,-86.58237273983221,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.85, 'e': 0.9703725093562656}",30,0,-137.20566546937616,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.85, 'e': 0.9655206468094842}",25,0,-143.58489765478356,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
8,False,"{'a': 0.85, 'e': 0.9606930435754368}",20,0,-11.658477289289133,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.85, 'e': 0.9558895783575596}",30,0,-169.61082191156902,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
10,False,"{'a': 0.85, 'e': 0.9511101304657719}",25,0,-125.64778948017644,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.85, 'e': 0.946354579813443}",20,0,-46.55692180506391,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.85, 'e': 0.9416228069143757}",25,0,-174.14900374957966,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
13,False,"{'a': 0.85, 'e': 0.9369146928798039}",20,0,-16.75670852370488,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.85, 'e': 0.9322301194154049}",20,0,-131.04997352025995,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.85, 'e': 0.9275689688183278}",25,0,-106.02824974435528,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.85, 'e': 0.9229311239742362}",20,0,-146.87232816804791,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
17,False,"{'a': 0.85, 'e': 0.918316468354365}",30,0,-113.24096229320556,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.85, 'e': 0.9137248860125932}",20,0,-198.23533626488478,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
19,False,"{'a': 0.85, 'e': 0.9091562615825302}",30,0,-84.79548602125162,"{0: 17, 1: 9, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.85, 'e': 0.9046104802746175}",30,0,-146.62984711549402,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
21,False,"{'a': 0.85, 'e': 0.9000874278732445}",30,0,-56.01078809255685,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.85, 'e': 0.8955869907338783}",20,6,-44.530916409438184,"{0: 8, 1: 1, 2: 5, 3: 0, 4: 0}",1
23,False,"{'a': 0.85, 'e': 0.8911090557802088}",30,1,-186.1495731998405,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 2}",1
24,False,"{'a': 0.85, 'e': 0.8866535105013078}",30,0,-93.41076041537765,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.85, 'e': 0.8822202429488012}",20,8,-10.510495128065031,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
26,False,"{'a': 0.85, 'e': 0.8778091417340572}",25,0,-179.4210521915203,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.85, 'e': 0.873420096025387}",20,0,-137.0981472039598,"{0: 6, 1: 5, 2: 8, 3: 0, 4: 1}",0
28,False,"{'a': 0.85, 'e': 0.86905299554526}",35,0,-85.52198875778942,"{0: 21, 1: 5, 2: 9, 3: 0, 4: 0}",0
29,False,"{'a': 0.85, 'e': 0.8647077305675337}",20,0,-70.91888909218068,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.85, 'e': 0.8603841919146961}",20,0,-128.19050129168676,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.85, 'e': 0.8560822709551226}",20,0,-81.46943014600423,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.85, 'e': 0.8518018596003469}",30,0,-118.75176324855664,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.85, 'e': 0.8475428503023452}",20,0,-97.30968239309412,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.85, 'e': 0.8433051360508335}",25,7,-61.62976576559027,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 0}",1
35,False,"{'a': 0.85, 'e': 0.8390886103705792}",25,2,-65.92809930642171,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 1}",1
36,False,"{'a': 0.85, 'e': 0.8348931673187264}",25,17,11.806129811694994,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.85, 'e': 0.8307187014821328}",20,0,-103.4521702540133,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
38,False,"{'a': 0.85, 'e': 0.826565107974722}",35,0,-190.6655563315683,"{0: 18, 1: 4, 2: 11, 3: 0, 4: 2}",0
