trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,10,-16.24849606486915,"{0: 6, 1: 4, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.714298632653183,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-176.6383782301627,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.866656476622815,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,5,-42.25324821221018,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.27060461958303,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.46636878623144,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.98096982069038,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.61669433535053,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.9944149613094,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,2,-3.277355742120366,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-114.1852876439792,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.3916381380161,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-30.61228032114153,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.85172096770823,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,7,-49.04122871624762,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.89468151843377,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.59861748345764,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.41852399120109,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.85273862007226,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,13,4.0010028804260465,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-114.93406916572067,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.24746376199326,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-197.85145978926923,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.6800827241326,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.03386870953989,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.5207440435444,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.03014628905163,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.98876752168012,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.024923631310365,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
